Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-646b,,0.178,15.87364565,,,transit,2016,1670,0.93,5634,
Kepler-647b,,0.104,16.2254649,,,transit,2016,2570,1.03,6020,
Kepler-648b,,0.287,17.4211749,,,transit,2016,2170,1.05,5741,
Kepler-649b,,0.202,29.90722674,,,transit,2016,1710,0.97,5871,
Kepler-650b,,0.264,3.03214559,,,transit,2016,2630,1.08,5849,
Kepler-651b,,0.211,21.38521506,,,transit,2016,1750,0.92,5522,
Kepler-652b,,0.222,4.18200253,,,transit,2016,1380,0.97,5490,
Kepler-653b,,0.174,14.70748976,,,transit,2016,1930,1.02,5665,
Kepler-653c,,0.07,0.90037648,,,transit,2016,1930,1.02,5665,
Kepler-654b,,0.185,13.72465129,,,transit,2016,2160,1.04,5865,
Kepler-655b,,0.242,46.4063358,,,transit,2016,2550,1.15,6170,
Kepler-656b,,0.278,1.26025909,,,transit,2016,2830,0.86,5281,
Kepler-657b,,0.314,24.54350418,,,transit,2016,4060,1.01,5808,
Kepler-658b,,0.145,1.28707676,,,transit,2016,1110,0.63,4103,
Kepler-659b,,0.223,17.671796,,,transit,2016,2240,0.79,4870,
Kepler-660b,,0.229,9.27358194,,,transit,2016,1840,0.75,4779,
Kepler-661b,,0.274,6.02930132,,,transit,2016,1820,0.7,4483,
Kepler-662b,,0.194,21.67697486,,,transit,2016,2090,0.79,4897,
Kepler-663b,,0.232,4.99678284,,,transit,2016,3400,0.86,5264,
Kepler-664b,,0.237,2.52559332,,,transit,2016,4520,1.01,5754,
Kepler-665b,,0.232,16.01310205,,,transit,2016,2120,0.79,4913,
Kepler-666b,,0.214,4.49876092,,,transit,2016,4300,1.03,5887,
Kepler-667b,,0.422,41.43962808,,,transit,2016,2960,0.91,5327,
Kepler-668b,,0.241,8.35390639,,,transit,2016,2860,0.87,5352,
Kepler-669b,,0.431,4.12554687,,,transit,2016,5800,1.15,6038,
Kepler-670b,,1.176,2.81650485,,,transit,2016,3200,0.99,5709,
Kepler-671b,,0.24,4.28095859,,,transit,2016,3710,0.97,5624,
Kepler-672b,,0.223,38.3774623,,,transit,2016,3300,0.95,5627,
Kepler-673b,,0.583,3.72873109,,,transit,2016,3190,0.88,5355,
Kepler-674b,,0.151,2.24338185,,,transit,2016,980,0.6,4192,
Kepler-675b,,0.218,2.33743801,,,transit,2016,2120,0.79,4945,
Kepler-676b,,0.271,11.59822172,,,transit,2016,790,0.51,3701,
Kepler-677b,,0.48,6.57531678,,,transit,2016,3800,1,5723,
Kepler-678b,,0.459,7.27503724,,,transit,2016,2850,0.94,5520,
Kepler-679b,,0.269,12.39358604,,,transit,2016,3160,0.87,5403,
Kepler-680b,,0.216,3.68992629,,,transit,2016,4380,1.08,5890,
Kepler-681b,,0.275,26.39435646,,,transit,2016,2170,0.8,5021,
Kepler-682b,,0.658,12.61190667,,,transit,2016,3100,0.92,5559,
Kepler-683b,,0.176,2.53918318,,,transit,2016,3180,0.96,5703,
Kepler-684b,,0.3,6.77030201,,,transit,2016,3480,0.89,5493,
Kepler-685b,,0.944,1.6255222,,,transit,2016,3730,1.11,5963,
Kepler-686b,,1.084,1.59474546,,,transit,2016,3920,0.94,5649,
Kepler-687b,,0.314,20.50586978,,,transit,2016,2050,0.77,4841,
Kepler-688b,,0.871,3.89593684,,,transit,2016,4070,0.98,5715,
Kepler-689b,,0.258,22.36656079,,,transit,2016,3410,0.91,5518,
Kepler-690b,,0.531,7.74809437,,,transit,2016,5390,1.11,5913,
Kepler-691b,,0.186,8.114379,,,transit,2016,780,0.53,3715,
Kepler-692b,,0.277,21.81293494,,,transit,2016,3300,0.9,5440,
Kepler-693b,,0.908,15.37563332,,,transit,2016,3270,0.76,4881,
Kepler-694b,,0.25,6.36584161,,,transit,2016,3340,0.97,5700,
Kepler-695b,,0.822,3.04033042,,,transit,2016,2000,0.84,5181,
Kepler-696b,,0.548,4.19042557,,,transit,2016,4190,1.06,5903,
Kepler-697b,,0.368,3.70987065,,,transit,2016,3560,0.92,5513,
Kepler-698b,,0.328,16.32976218,,,transit,2016,3700,0.94,5612,
Kepler-699b,,1.259,27.80756293,,,transit,2016,2900,0.81,5330,
Kepler-700b,,0.534,80.8720639,,,transit,2016,3460,0.98,5692,
Kepler-701b,,0.253,10.35533177,,,transit,2016,2460,0.88,5343,
Kepler-702b,,0.818,10.52629406,,,transit,2016,2910,0.9,5419,
Kepler-703b,,0.732,4.58352176,,,transit,2016,4830,1.18,6185,
Kepler-704b,,0.233,3.76182115,,,transit,2016,3440,0.97,5616,
Kepler-705b,,0.188,56.0560538,,,transit,2016,820,0.53,3722,
Kepler-706b,,1.175,41.40831347,,,transit,2016,2600,0.87,5394,
Kepler-707b,,0.119,2.23749275,,,transit,2016,2040,0.8,5099,
Kepler-708b,,0.261,3.16789194,,,transit,2016,4050,0.97,5692,
Kepler-709b,,0.261,16.08524954,,,transit,2016,2180,0.8,5071,
Kepler-710b,,0.168,4.34728553,,,transit,2016,3000,0.94,5611,
Kepler-711b,,0.304,23.58914398,,,transit,2016,2170,0.84,5222,
Kepler-712b,,0.304,21.02247699,,,transit,2016,3080,0.84,5148,
Kepler-712c,,0.433,226.89047,,,transit,2016,3080,0.84,5148,
Kepler-713b,,0.221,7.411141,,,transit,2016,3270,0.98,5785,
Kepler-714b,,0.863,8.09888799,,,transit,2016,4800,1.09,5995,
Kepler-715b,,0.335,10.00652995,,,transit,2016,3960,1.04,5871,
Kepler-716b,,0.259,10.37168453,,,transit,2016,2200,0.83,5099,
Kepler-717b,,0.216,4.40840023,,,transit,2016,3670,0.88,5485,
Kepler-718b,,1.477,2.0523499,,,transit,2016,5000,1.18,6191,
Kepler-719b,,0.76,5.00731778,,,transit,2016,4650,0.99,5777,
Kepler-720b,,0.75,4.70832654,,,transit,2016,2900,0.95,5618,
Kepler-721b,,0.236,5.39202539,,,transit,2016,2770,0.82,5075,
Kepler-722b,,0.235,4.09357325,,,transit,2016,4480,1.03,5863,
Kepler-722c,,0.252,105.144749,,,transit,2016,4480,1.03,5863,
Kepler-723b,,1.088,4.08227507,,,transit,2016,3150,0.92,5539,
Kepler-724b,,0.294,3.31494634,,,transit,2016,2810,0.9,5437,
Kepler-725b,,0.948,39.64317811,,,transit,2016,2540,0.88,5363,
Kepler-726b,,0.291,21.80451088,,,transit,2016,2730,0.88,5452,
Kepler-727b,,0.226,5.15448442,,,transit,2016,2910,0.89,5441,
Kepler-728b,,0.298,5.74347727,,,transit,2016,4030,0.95,5660,
Kepler-729b,,0.319,3.16635371,,,transit,2016,4150,0.94,5633,
Kepler-730b,,0.822,6.49168426,,,transit,2016,4750,1,5726,
Kepler-731b,,1.238,3.85560355,,,transit,2016,4280,1.03,5849,
Kepler-732b,,0.194,9.46781405,,,transit,2016,490,0.49,3631,
Kepler-732c,,0.113,0.89304124,,,transit,2016,490,0.49,3631,
Kepler-733b,,0.252,20.83424726,,,transit,2016,3200,0.9,5418,
Kepler-734b,,0.318,6.10485286,,,transit,2016,1800,0.85,5326,
Kepler-735b,,0.263,11.51516988,,,transit,2016,2600,0.85,5107,
Kepler-736b,,0.261,3.60147201,,,transit,2016,3280,0.86,5217,
Kepler-737b,,0.175,28.59915399,,,transit,2016,640,0.51,3813,
Kepler-738b,,0.223,24.58721573,,,transit,2016,3240,0.86,5327,
Kepler-739b,,0.296,12.53248465,,,transit,2016,3680,0.93,5601,
Kepler-740b,,0.408,3.58410122,,,transit,2016,4120,0.91,5438,
Kepler-741b,,0.265,7.03902374,,,transit,2016,5000,1.16,6129,
Kepler-742b,,0.289,8.36086824,,,transit,2016,1630,0.76,4642,
Kepler-743b,,0.108,3.17926292,,,transit,2016,840,0.94,5486,
Kepler-744b,,0.145,12.06222443,,,transit,2016,1590,0.94,5594,
Kepler-745b,,0.193,9.93143556,,,transit,2016,3910,1.04,5849,
Kepler-746b,,0.099,3.48159251,,,transit,2016,1500,0.91,5418,
Kepler-747b,,0.47,35.61760587,,,transit,2016,2790,0.82,5096,
Kepler-748b,,0.225,7.40742793,,,transit,2016,4150,1.07,5934,
Kepler-749b,,0.277,17.31716585,,,transit,2016,2460,0.79,5009,
Kepler-750b,,0.274,9.42887179,,,transit,2016,3850,1.15,6160,
Kepler-750c,,0.145,4.08899022,,,transit,2016,3850,1.15,6160,
Kepler-751b,,0.219,17.44490636,,,transit,2016,2440,0.87,5387,
Kepler-752b,,0.251,18.82747265,,,transit,2016,3510,0.87,5373,
Kepler-753b,,0.17,5.74772501,,,transit,2016,910,0.68,4346,
Kepler-754b,,0.179,14.5596237,,,transit,2016,3890,1.06,5935,
Kepler-755b,,0.157,1.26909037,,,transit,2016,1200,0.82,5043,
Kepler-755c,,0.112,2.85313364,,,transit,2016,1200,0.82,5043,
Kepler-756b,,0.1,1.22486632,,,transit,2016,2780,0.82,5282,
Kepler-757b,,0.121,1.02267882,,,transit,2016,3310,1.08,6014,
Kepler-758b,,0.221,12.1097104,,,transit,2016,4410,1.16,6228,
Kepler-758c,,0.151,4.75793986,,,transit,2016,4410,1.16,6228,
Kepler-758d,,0.189,20.4966197,,,transit,2016,4410,1.16,6228,
Kepler-758e,,0.136,8.1934719,,,transit,2016,4410,1.16,6228,
Kepler-759b,,0.203,41.805985,,,transit,2016,2910,1.04,5860,
Kepler-760b,,0.273,8.70419416,,,transit,2016,2550,0.89,5322,
Kepler-760c,,0.132,2.46697439,,,transit,2016,2550,0.89,5322,
Kepler-761b,,0.181,10.12804789,,,transit,2016,2830,0.95,5706,
Kepler-762b,,1.131,3.7705521,,,transit,2016,4780,1.06,5944,
Kepler-763b,,0.109,1.19655156,,,transit,2016,2940,0.84,5166,
Kepler-764b,,0.146,7.33683936,,,transit,2016,3300,0.92,5557,
Kepler-765b,,0.217,27.6655226,,,transit,2016,3300,1.05,5901,
Kepler-766b,,0.302,6.10027804,,,transit,2016,5260,1.1,5992,
Kepler-767b,,0.592,161.5280101,,,transit,2016,3860,0.96,5694,
Kepler-768b,,0.16,11.3910025,,,transit,2016,2590,0.82,5108,
Kepler-769b,,0.261,7.42608998,,,transit,2016,4440,1.19,6186,
Kepler-769c,,0.16,15.9870174,,,transit,2016,4440,1.19,6186,
Kepler-770b,,0.205,18.92540274,,,transit,2016,2480,0.94,5598,
Kepler-770c,,0.107,1.47532231,,,transit,2016,2480,0.94,5598,
Kepler-770d,,0.125,4.15244722,,,transit,2016,2480,0.94,5598,
Kepler-771b,,0.162,8.73485836,,,transit,2016,3300,1.03,5906,
Kepler-772b,,0.162,12.99207337,,,transit,2016,2250,0.98,5714,
Kepler-773b,,0.128,3.74910006,,,transit,2016,1720,1.04,5850,
Kepler-774b,,0.283,11.0895723,,,transit,2016,3900,1.57,6403,
Kepler-775b,,0.106,0.97486893,,,transit,2016,1300,0.92,5468,
Kepler-776b,,0.114,4.89718784,,,transit,2016,2370,0.83,5071,
Kepler-777b,,0.131,5.72812599,,,transit,2016,1250,0.58,4043,
Kepler-778b,,0.15,3.75574426,,,transit,2016,2930,0.81,5102,
Kepler-779b,,0.082,7.09714223,,,transit,2016,730,0.46,3804,
Kepler-780b,,0.079,0.67737516,,,transit,2016,1700,1.01,5769,
Kepler-781b,,0.258,13.2140732,,,transit,2016,3380,0.81,5162,
Kepler-782b,,0.286,158.6853308,,,transit,2016,1340,0.98,5867,
Kepler-783b,,0.07,4.29264638,,,transit,2016,1770,0.93,5521,
Kepler-784b,,0.141,31.5922646,,,transit,2016,1970,1,5674,
Kepler-785b,,1.162,1.97376093,,,transit,2016,2170,0.77,4739,
Kepler-786b,,0.217,53.5293487,,,transit,2016,1670,0.81,4838,
Kepler-787b,,0.114,0.9283105,,,transit,2016,1530,0.65,4248,
Kepler-788b,,0.227,8.39846269,,,transit,2016,5380,1.16,6159,
Kepler-789b,,0.189,8.63847725,,,transit,2016,2980,1.01,5870,
Kepler-790b,,0.194,13.73469807,,,transit,2016,2370,0.84,5208,
Kepler-791b,,0.272,14.5539759,,,transit,2016,4720,1.3,6383,
Kepler-792b,,0.175,11.30119217,,,transit,2016,3930,1.09,5971,
Kepler-793b,,0.122,4.24153639,,,transit,2016,2590,0.98,5745,
Kepler-794b,,0.188,11.13125132,,,transit,2016,2490,1.19,5839,
Kepler-795b,,0.15,29.6193421,,,transit,2016,1490,0.94,5631,
Kepler-796b,,0.116,6.40087618,,,transit,2016,1230,0.93,5475,
Kepler-797b,,0.194,27.07237711,,,transit,2016,2450,0.96,5680,
Kepler-798b,,0.213,13.71933369,,,transit,2016,3540,1.19,6224,
Kepler-799b,,0.614,133.4605235,,,transit,2016,3360,0.95,5681,
Kepler-800b,,0.254,14.13176026,,,transit,2016,3420,0.85,5315,
Kepler-801b,,0.178,11.41928253,,,transit,2016,1370,0.67,4435,
Kepler-802b,,0.316,40.0587473,,,transit,2016,2700,0.93,5507,
Kepler-803b,,0.338,50.28638192,,,transit,2016,2010,1.05,5919,
Kepler-804b,,0.173,14.37457351,,,transit,2016,2110,1.01,5817,
Kepler-804c,,0.102,9.65185017,,,transit,2016,2110,1.01,5817,
Kepler-805b,,0.258,30.8638931,,,transit,2016,2140,1.19,6112,
Kepler-806b,,0.102,8.09219642,,,transit,2016,850,0.99,5770,
Kepler-807b,,0.93,117.93108781,,,transit,2016,4280,1.04,5965,
Kepler-808b,,0.13,0.63133235,,,transit,2016,1050,0.76,4653,
Kepler-809b,,0.269,55.63934,,,transit,2016,3040,0.99,5734,
Kepler-810b,,0.172,4.59725385,,,transit,2016,5070,1.03,5803,
Kepler-811b,,0.241,23.58447697,,,transit,2016,2760,1.01,5747,
Kepler-812b,,0.317,10.11716531,,,transit,2016,4830,1.45,6761,
Kepler-813b,,0.191,19.12947337,,,transit,2016,2700,0.95,5743,
Kepler-814b,,0.189,6.1469851,,,transit,2016,4330,1.15,6162,
Kepler-815b,,0.367,8.57503552,,,transit,2016,3910,1.25,5028,
Kepler-816b,,0.914,10.50682565,,,transit,2016,3450,0.9,5286,
Kepler-817b,,0.806,3.99010623,,,transit,2016,4570,1.03,5861,
Kepler-818b,,0.456,10.03538581,,,transit,2016,3150,0.94,5638,
Kepler-819b,,0.246,33.1995648,,,transit,2016,2350,0.86,5279,
Kepler-820b,,0.543,127.8338098,,,transit,2016,3230,1.23,6260,
Kepler-821b,,0.117,1.92279873,,,transit,2016,2020,0.84,5191,
Kepler-822b,,0.158,3.22296927,,,transit,2016,3120,1.06,5928,
Kepler-823b,,0.14,4.16809082,,,transit,2016,2920,0.98,5643,
Kepler-824b,,0.167,4.51436633,,,transit,2016,4410,1.15,6035,
Kepler-825b,,0.136,3.77360059,,,transit,2016,2700,1.03,5976,
Kepler-825c,,0.164,8.1818246,,,transit,2016,2700,1.03,5976,
Kepler-826b,,0.112,4.48758907,,,transit,2016,2120,1.05,6079,
Kepler-827b,,0.502,51.92927591,,,transit,2016,4410,0.93,5602,
Kepler-828b,,0.135,0.56785714,,,transit,2016,2040,0.81,5039,
Kepler-829b,,0.188,6.88337562,,,transit,2016,3110,0.98,5698,
Kepler-830b,,0.152,11.29695137,,,transit,2016,3660,1.07,6037,
Kepler-831b,,0.113,5.62153941,,,transit,2016,1880,0.99,5732,
Kepler-832b,,0.184,7.1396941,,,transit,2016,4390,0.92,5596,
Kepler-833b,,0.18,18.7546998,,,transit,2016,1370,0.64,4339,
Kepler-834b,,0.18,13.32388301,,,transit,2016,2000,0.7,4554,
Kepler-835b,,0.249,11.41909375,,,transit,2016,6560,1.08,5954,
Kepler-836b,,0.244,11.36112327,,,transit,2016,3270,1.03,5895,
Kepler-837b,,0.228,16.56059504,,,transit,2016,2760,0.85,5403,
Kepler-838b,,0.244,15.74957994,,,transit,2016,3900,0.98,5770,
Kepler-839b,,0.229,37.8144514,,,transit,2016,2720,1.22,6058,
Kepler-840b,,1.523,2.49577962,,,transit,2016,2540,1.04,5920,
Kepler-841b,,0.467,124.4198398,,,transit,2016,3430,0.85,5324,
Kepler-842b,,0.143,1.21956827,,,transit,2016,1800,0.78,4848,
Kepler-843b,,0.231,2.05387982,,,transit,2016,4070,1.02,5830,
Kepler-844b,,0.15,2.61302086,,,transit,2016,1290,0.59,4128,
Kepler-845b,,0.182,0.92785982,,,transit,2016,1540,0.79,4913,
Kepler-846b,,0.221,19.80792185,,,transit,2016,4020,0.94,5579,
Kepler-847b,,0.105,2.3432319,,,transit,2016,1730,0.83,4940,
Kepler-848b,,0.152,6.91134416,,,transit,2016,2600,1.01,5695,
Kepler-849b,,0.637,394.6244904,,,transit,2016,2440,1.23,6059,
Kepler-850b,,0.159,7.19303878,,,transit,2016,5010,1.06,5932,
Kepler-851b,,0.15,8.50699658,,,transit,2016,2830,0.89,5455,
Kepler-852b,,0.227,44.9309804,,,transit,2016,2790,1.19,6100,
Kepler-853b,,0.151,7.16892463,,,transit,2016,2000,1.3,6350,
Kepler-854b,,1.492,2.14463285,,,transit,2016,2420,1.17,6179,
Kepler-855b,,0.745,7.8866311,,,transit,2016,3400,1.03,5835,
Kepler-856b,,0.83,8.02768059,,,transit,2016,3830,0.96,5535,
Kepler-857b,,0.607,85.35129427,,,transit,2016,3390,0.99,5773,
Kepler-858b,,0.434,76.13602028,,,transit,2016,970,0.96,5653,
Kepler-859b,,0.276,20.38177573,,,transit,2016,2980,0.81,5020,
Kepler-860b,,0.289,5.10137945,,,transit,2016,4220,1.04,5836,
Kepler-861b,,0.203,3.94963138,,,transit,2016,2630,0.82,5047,
Kepler-862b,,0.197,3.14866453,,,transit,2016,2630,0.88,5333,
Kepler-863b,,0.259,15.59461874,,,transit,2016,3730,0.96,5678,
Kepler-864b,,0.214,5.83376092,,,transit,2016,5130,1,5754,
Kepler-865b,,0.222,14.16399294,,,transit,2016,2170,0.93,5570,
Kepler-866b,,0.145,2.61703254,,,transit,2016,2300,0.75,4751,
Kepler-867b,,0.414,150.242127,,,transit,2016,2690,0.92,5541,
Kepler-868b,,0.183,5.03251791,,,transit,2016,4140,0.93,5614,
Kepler-869b,,0.322,40.4287755,,,transit,2016,3120,0.97,5664,
Kepler-870b,,0.248,21.3587621,,,transit,2016,4010,1.01,5857,
Kepler-871b,,0.334,22.0459018,,,transit,2016,5530,1.11,5993,
Kepler-872b,,0.178,2.57885507,,,transit,2016,3630,1.05,5902,
Kepler-873b,,0.335,20.5533844,,,transit,2016,4560,1.18,6163,
Kepler-874b,,0.352,40.0686727,,,transit,2016,3500,1.09,6020,
Kepler-875b,,0.259,27.5073799,,,transit,2016,4060,1.06,5958,
Kepler-876b,,0.128,5.14438011,,,transit,2016,2400,0.81,5060,
Kepler-877b,,0.189,18.45847097,,,transit,2016,1870,0.85,5261,
Kepler-878b,,0.172,25.9422033,,,transit,2016,1850,0.81,5044,
Kepler-879b,,0.229,33.3855938,,,transit,2016,2520,1.02,5792,
Kepler-880b,,0.237,7.71468975,,,transit,2016,2200,1.46,6761,
Kepler-881b,,0.159,4.44448017,,,transit,2016,4450,1.06,5961,
Kepler-882b,,0.11,3.98953967,,,transit,2016,1710,0.9,5476,
Kepler-883b,,0.159,12.98495573,,,transit,2016,1790,1.06,6116,
Kepler-884b,,0.11,5.69919514,,,transit,2016,1400,1,5715,
Kepler-885b,,0.223,18.11472949,,,transit,2016,2060,1.21,6187,
Kepler-886b,,0.136,6.24146367,,,transit,2016,2800,1.1,6098,
Kepler-887b,,0.164,20.42228798,,,transit,2016,2710,1.19,6194,
Kepler-887c,,0.101,7.63846023,,,transit,2016,2710,1.19,6194,
Kepler-888b,,0.157,70.6979061,,,transit,2016,1350,0.97,5875,
Kepler-889b,,0.097,3.744439,,,transit,2016,1670,1.14,5961,
Kepler-890b,,0.793,52.75875577,,,transit,2016,4520,1.09,5954,
Kepler-891b,,0.572,53.44945593,,,transit,2016,4470,1.06,5887,
Kepler-892b,,0.251,13.7521072,,,transit,2016,2100,0.75,4747,
Kepler-893b,,0.27,6.33855761,,,transit,2016,3970,1,5820,
Kepler-894b,,0.248,9.803224,,,transit,2016,3600,0.87,5603,
Kepler-895b,,0.137,2.80624233,,,transit,2016,1680,0.65,4315,
Kepler-896b,,0.226,144.547396,,,transit,2016,2920,0.84,5262,
Kepler-897b,,0.213,8.0472642,,,transit,2016,3740,1.03,5839,
Kepler-898b,,0.133,5.8706191,,,transit,2016,1560,0.65,4223,
Kepler-899b,,0.239,19.17891293,,,transit,2016,3390,0.93,5595,
Kepler-900b,,0.186,6.9913086,,,transit,2016,1650,0.78,4836,
Kepler-901b,,0.122,3.51749439,,,transit,2016,790,0.59,4184,
Kepler-902b,,0.227,40.1099547,,,transit,2016,2950,0.95,5647,
Kepler-903b,,0.179,10.3507721,,,transit,2016,2700,0.98,5682,
Kepler-903c,,0.226,62.9228557,,,transit,2016,2700,0.98,5682,
Kepler-904b,,0.158,3.02166863,,,transit,2016,3750,1.16,6160,
Kepler-905b,,0.126,5.08274652,,,transit,2016,1700,0.95,5461,
Kepler-906b,,0.188,41.6979976,,,transit,2016,2470,1.06,6035,
Kepler-907b,,0.107,15.86621821,,,transit,2016,1150,1.08,6106,
Kepler-908b,,0.109,1.34059747,,,transit,2016,820,1.11,5973,
Kepler-909b,,0.131,13.93290318,,,transit,2016,1040,1.17,6154,
Kepler-910b,,0.073,2.36436901,,,transit,2016,1310,1.26,6230,
Kepler-911b,,0.232,20.310501,,,transit,2016,1850,1.34,6112,
Kepler-912b,,0.25,2.53475627,,,transit,2016,4130,1.07,5998,
Kepler-913b,,0.184,10.29672521,,,transit,2016,1950,0.63,4687,
Kepler-914b,,0.123,4.40966548,,,transit,2016,2210,1.1,5877,
Kepler-915b,,0.134,4.59489604,,,transit,2016,2630,1.21,6173,
Kepler-916b,,0.157,32.2968798,,,transit,2016,2510,0.85,5248,
Kepler-917b,,0.17,2.97041437,,,transit,2016,3350,0.8,5418,
Kepler-918b,,0.155,4.85386933,,,transit,2016,4060,1.11,6028,
Kepler-919b,,0.201,11.04603384,,,transit,2016,3980,1.15,6113,
Kepler-920b,,0.216,6.53192704,,,transit,2016,3020,0.89,5403,
Kepler-920c,,0.339,100.8274113,,,transit,2016,3020,0.89,5403,
Kepler-921b,,0.256,51.300634,,,transit,2016,2760,0.93,5663,
Kepler-922b,,0.127,0.93846683,,,transit,2016,1820,0.95,5671,
Kepler-923b,,0.123,6.93366476,,,transit,2016,3150,1.11,5988,
Kepler-924b,,0.274,61.0370117,,,transit,2016,3250,1.14,6167,
Kepler-925b,,0.209,33.8678531,,,transit,2016,2030,0.77,4673,
Kepler-926b,,0.206,52.0688601,,,transit,2016,2510,1.01,5806,
Kepler-927b,,0.153,9.1149903,,,transit,2016,2870,0.99,5743,
Kepler-928b,,0.142,3.9324613,,,transit,2016,1740,0.73,4700,
Kepler-929b,,0.099,0.92103214,,,transit,2016,2700,1.01,5869,
Kepler-930b,,0.19,71.4517775,,,transit,2016,2950,1.25,6335,
Kepler-931b,,0.119,8.03755877,,,transit,2016,1600,0.86,5241,
Kepler-932b,,0.122,1.9214374,,,transit,2016,1560,0.87,5331,
Kepler-933b,,0.219,14.20443009,,,transit,2016,3010,0.87,5346,
Kepler-934b,,0.186,55.6738309,,,transit,2016,1970,0.81,5001,
Kepler-935b,,0.12,4.88083852,,,transit,2016,1570,0.78,4830,
Kepler-936b,,0.129,10.56134221,,,transit,2016,2240,0.92,5482,
Kepler-937b,,0.332,67.668827,,,transit,2016,4830,1.15,6095,
Kepler-937c,,0.238,153.343364,,,transit,2016,4830,1.15,6095,
Kepler-938b,,0.198,52.6298417,,,transit,2016,2810,0.92,5533,
Kepler-939b,,0.156,14.878296,,,transit,2016,3360,0.88,5471,
Kepler-940b,,0.298,59.6225257,,,transit,2016,4300,0.97,5769,
Kepler-941b,,0.275,17.42395198,,,transit,2016,3600,0.89,5539,
Kepler-942b,,0.19,44.96417488,,,transit,2016,710,0.81,4861,
Kepler-943b,,0.529,49.7701438,,,transit,2016,4040,0.93,5612,
Kepler-944b,,0.235,43.3167737,,,transit,2016,3380,0.86,5409,
Kepler-945b,,0.235,31.0033814,,,transit,2016,5030,0.97,5718,
Kepler-946b,,0.172,11.79162572,,,transit,2016,2990,0.94,5665,
Kepler-947b,,0.203,26.9644317,,,transit,2016,3870,0.9,5508,
Kepler-948b,,0.165,7.76846622,,,transit,2016,2880,0.96,5679,
Kepler-949b,,0.26,8.6893073,,,transit,2016,1870,0.89,5403,
Kepler-950b,,0.801,98.7180406,,,transit,2016,4860,1.02,5857,
Kepler-951b,,0.499,71.52530845,,,transit,2016,1330,0.77,4834,
Kepler-952b,,0.682,130.3546919,,,transit,2016,3810,1,5730,
Kepler-953b,,0.376,88.40655258,,,transit,2016,780,0.95,5416,
Kepler-953c,,0.106,9.10967112,,,transit,2016,780,0.95,5416,
Kepler-954b,,0.207,16.78176602,,,transit,2016,730,0.82,4990,
Kepler-955b,,0.279,14.53244172,,,transit,2016,2080,0.89,5350,
Kepler-956b,,0.268,5.24867263,,,transit,2016,2060,1.1,6040,
Kepler-957b,,0.491,5.90741354,,,transit,2016,2440,0.81,4963,
Kepler-958b,,0.184,9.7678805,,,transit,2016,1520,0.91,5421,
Kepler-959b,,0.391,14.80074836,,,transit,2016,3270,1.6,7005,
Kepler-960b,,0.204,3.12686223,,,transit,2016,970,0.77,4755,
Kepler-961b,,0.227,16.87727414,,,transit,2016,1980,0.96,5582,
Kepler-962b,,0.176,12.05707239,,,transit,2016,1430,0.93,5478,
Kepler-963b,,0.237,9.97683705,,,transit,2016,2560,0.91,5461,
Kepler-964b,,0.189,13.5225106,,,transit,2016,1560,0.93,5427,
Kepler-965b,,0.302,134.2527298,,,transit,2016,2020,1.05,5886,
Kepler-966b,,0.368,99.747622,,,transit,2016,2520,1.02,5840,
Kepler-967b,,0.21,13.22713379,,,transit,2016,1630,0.84,5178,
Kepler-967c,,0.326,198.7112502,,,transit,2016,1630,0.84,5178,
Kepler-968b,,0.178,3.69298373,,,transit,2016,1020,0.76,4598,
Kepler-968c,,0.151,5.70940492,,,transit,2016,1020,0.76,4598,
Kepler-969b,,0.185,34.1731714,,,transit,2016,1340,0.92,5214,
Kepler-969c,,0.088,1.6829346,,,transit,2016,1340,0.92,5214,
Kepler-970b,,0.247,16.73652231,,,transit,2016,1100,0.7,4511,
Kepler-971b,,0.19,9.59070716,,,transit,2016,1130,0.88,5431,
Kepler-972b,,0.415,7.03932553,,,transit,2016,4250,1.15,6146,
Kepler-973b,,0.175,49.6077331,,,transit,2016,970,0.86,5213,
Kepler-974b,,0.14,4.19449651,,,transit,2016,390,0.52,3687,
Kepler-975b,,0.132,1.97034246,,,transit,2016,1320,0.8,4897,
Kepler-976b,,0.353,105.9564148,,,transit,2016,3300,0.87,5232,
Kepler-977b,,0.234,26.85328322,,,transit,2016,2170,0.87,5315,
Kepler-978b,,0.267,49.6221509,,,transit,2016,2040,1.07,6002,
Kepler-979b,,0.243,8.0880135,,,transit,2016,1980,0.87,5310,
Kepler-980b,,0.238,11.55102504,,,transit,2016,2620,1.05,5935,
Kepler-981b,,0.206,4.46975774,,,transit,2016,2980,0.98,5718,
Kepler-982b,,0.201,15.7738221,,,transit,2016,2290,1.16,6139,
Kepler-983b,,0.211,60.0855082,,,transit,2016,2140,1.13,6052,
Kepler-984b,,0.189,43.0342272,,,transit,2016,1500,0.96,5610,
Kepler-985b,,0.266,116.331901,,,transit,2016,2420,0.91,5434,
Kepler-986b,,0.211,56.4349938,,,transit,2016,1840,0.96,5642,
Kepler-987b,,0.291,105.3033148,,,transit,2016,3050,0.97,5637,
Kepler-988b,,0.185,17.76080053,,,transit,2016,810,0.55,4005,
Kepler-989b,,0.197,7.96431535,,,transit,2016,1580,0.82,5074,
